Year,Market Name,Borough,Street Address,Community District,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Accepts EBT,Open Year-Round,Stellar Cooking Demonstrations
2025,175th Street Greenmarket,Manhattan,W. 175th St. bet. Wadsworth Ave. & Broadway,112,40.845948,-73.937811,Thursday,8 a.m. - 4p.m.,,Yes,No,No
2025,4th Ave Sunset Park Greenmarket,Brooklyn,4th Ave. 60th St.,307,40.647975,-74.003744,Saturday,8 a.m. - 3 p.m.,,Yes,No,No
2025,57th Street Greenmarket,Manhattan,57th St. & 10th Ave.,104,40.769117,-73.988559,Saturday,8 a.m. - 3 p.m.,,Yes,No,No
2025,79th Street Greenmarket,Manhattan,79th St. & Columbus Ave.,107,40.782295,-73.975244,Sunday,9 a.m. - 4 p.m,,Yes,Yes,No
2025,7th Ave Sunset Park Greenmarket,Brooklyn,7th Ave. & 44th St.,307,40.645841,-74.002402,Saturday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,82nd Street Greenmarket,Manhattan,82nd St. bet. 1st & York Aves,108,40.774292,-73.951262,Saturday,9 a.m. - 2:30 p.m.,,Yes,Yes,No
2025,97th Street Greenmarket,Manhattan,97th St. bet. Columbus & Amsterdam Aves,107,40.794003,-73.96807,Friday,8 a.m. - 2 p.m.,,Yes,Yes,No
2025,Abingdon Square Park Greenmarket,Manhattan,Hudson St. & W 12th St.,102,40.737553,-74.005687,Saturday,8 a.m. - 2 p.m.,,Yes,Yes,No
2025,Bartel-Pritchard Square Greenmarket,Brooklyn,Prospect Park W at 15th St.,355,40.661354,-73.96968,Wednesday & Sunday (starting 5/5),8 a.m. - 2 p.m. (W); 9 a.m. - 2 p.m. (SU),,Yes,Yes (Wednesday),No
2025,Bay Ridge Greenmarket,Brooklyn,3rd Ave. & 95th St.,310,40.61781,-74.03338,Saturday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Bed-Stuy Farmstand,Brooklyn,Decatur St & Lewis Ave,303,40.681376,-73.933948,Saturday,9 a.m. - 2:30 p.m.,,Yes,No,No
2025,Bensonhurst Greenmarket,Brooklyn,18th Ave. bet. 81st & 82nd Sts,311,40.609588,-73.999677,Sunday,9 a.m. - 3 p.m.,,Yes,No,No
2025,Bissel Gardens Farmers Market,Bronx,Baychester Ave & E 241st St,212,40.90152,-73.846937,Saturday,10 a.m.- 4 p.m.,,Yes,No,No
2025,Black Radish Farmstand,Brooklyn,12020 Flatlands Ave.,305,40.651172,-73.889936,Saturday,noon - 4 p.m.,,Yes,No,No
2025,Boro Park Greenmarket,Brooklyn,14th Ave. bet. 49th & 50th Sts,312,40.633285,-73.990548,Thursday,8 a.m. - 2 p.m.,,Yes,No,No
2025,Bowling Green Greenmarket,Manhattan,Broadway at Battery Pl.,101,40.704549,-74.01429,Tuesday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Bro Sis Green Youth Market,Manhattan,"Amsterdam bet W 143rd & 144th Sts., at Johnny Hartman Plaza",109,40.82394,-73.948552,Wednesday,10:30 a.m. - 6 p.m.,,Yes,No,No
2025,Bronx Borough Hall Greenmarket,Bronx,161st St. & Grand Concourse,204,40.827335,-73.922911,Tuesday,8 a.m. - 4 p.m.,,Yes,No,No
2025,Bronx Park East (BxPE) Farmers Market,Bronx,"2045 Bronx Park East, Bronx Park (Bradley Playground)",211,40.851713,-73.867786,Sunday,9 a.m. - 4 p.m.,,Yes,No,No
2025,BronxWorks Farm Stand,Bronx,1130 Grand Concourse,204,40.832759,-73.919296,Thursday,10 a.m.-2 p.m.,,Yes,No,No
2025,Brooklyn Borough Hall Greenmarket,Brooklyn,Montague & Court Sts,302,40.693722,-73.990455,Tusday & Saturday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,Brownsville Pitkin Farmstand,Brooklyn,Pitkin Ave. & Thomas Boyland St.,316,40.669234,-73.913698,Saturday,10 a.m. - 3 p.m.,,Yes,No,No
2025,Carroll Gardens Greenmarket,Brooklyn,Smith & Carroll Sts,306,40.680761,-73.99552,Sunday,8 a.m. - 2 p.m.,,Yes,Yes,No
2025,Children's Aid Go!Healthy Food Box + Farmstand - CS211,Bronx,1919 Prospect Ave.,206,40.843546,-73.889755,Thursday,1:30 p.m. - 4 p.m.,,Yes,No,No
2025,Children's Aid Go!Healthy Food Box + Farmstand - Goodhue Center,Staten Island,304 Prospect Ave.,501,40.638936,-74.097966,Tuesday,1:30 p.m. - 4:30 p.m.,,Yes,No,No
2025,Children's Aid Go!Healthy Food Box + Farmstand - Milbank Center,Manhattan,14-32 W. 118th St.,110,40.802317,-73.946351,Wednesday,2:30 p.m. - 5:30 p.m.,,Yes,No,No
2025,Children's Aid Go!Healthy Food Box + Farmstand - PS 152,Manhattan,93 Nagle Ave.,112,40.860412,-73.927936,Tuesday,2 p.m - 5 p.m.,,Yes,No,No
2025,City Hall Greenmarket,Manhattan,Broadway btw Chambers St and Warrent St,101,40.713696,-74.00672,Tuesdays,8 a.m. - 4 p.m.,,Yes,No,No
2025,Columbia Greenmarket,Manhattan,Broadway & W. 114th St.,109,40.807145,-73.964265,Thursday & Sunday,8 a.m. - 4 p.m.,,Yes,Yes,No
2025,Corona Greenmarket,Queens,Roosevelt Ave. & 103rd St.,403,40.749869,-73.862726,Friday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Cortelyou Greenmarket,Brooklyn,Cortelyou Rd. bet. Rugby & Argyle Rds,314,40.64051,-73.966021,Sunday,8 a.m. - 2 p.m.,,Yes,Yes,No
2025,Crown Heights Farmstand,Brooklyn,Nostrand Ave. & Crown St. (NW corner),309,40.666472,-73.950807,Friday,9:30 a.m. - 2:30 p.m.,,Yes,No,No
2025,Cypress Hills Farmstand,Brooklyn,Fulton St. between Richmond and Logan Sts. ((in front of Cypress Hills Senior Center),305,40.682391,-73.913554,Friday,9 a.m. - 2 p.m.,,Yes,No,Yes
2025,Dag Hammarskjold Greenmarket,Manhattan,E 47th St & 2nd Ave,106,40.752122,-73.968154,Wednesday,8 a.m. - 3 p.m.,,Yes,Yes,No
2025,Domino Park Greenmarket,Brooklyn,River St. bet. S 2nd & S 3rd Sts,301,40.715404,-73.967423,Sunday,8 a.m. - 3 p.m.,,Yes,No,No
2025,Down to Earth Chelsea Farmers Market,Manhattan,355 W. 23rd St.,104,40.745944,-74.000004,Saturday,9 a.m. - 2 p.m.,,Yes,No,No
2025,Down to Earth Cunningham Park Farmers Market,Queens,19600 Union Turnpike,408,40.730929,-73.774773,Sunday,9 a.m. - 2 p.m.,,Yes,No,No
2025,Down to Earth McGolrick Park Farmers Market,Brooklyn,108 Russell St.,301,40.724305,-73.944271,Sunday,9 a.m. - 2 p.m.,,Yes,Yes,No
2025,Down to Earth Morningside Park Farmers Market,Manhattan,237-331 Manhattan Ave.,107,40.801263,-73.959582,Saturday,9 a.m. - 2 p.m.,,Yes,Yes,No
